timestamp,eye_ar,head_direction,observation_complete
1770830934.5257735,0.318,RIGHT,1
1770830934.5666502,0.291,RIGHT,1
1770830934.6117265,0.31,RIGHT,1
1770830934.6569622,0.327,RIGHT,1
1770830934.699642,0.319,RIGHT,1
1770830934.7455273,0.355,RIGHT,1
1770830934.7879317,0.0,RIGHT,1
1770830934.8375673,0.254,RIGHT,1
1770830934.885915,0.224,RIGHT,1
1770830934.9305413,0.252,RIGHT,1
1770830934.974616,0.302,FORWARD,1
1770830935.0194328,0.297,FORWARD,1
1770830935.0640023,0.288,FORWARD,1
1770830935.1082928,0.248,FORWARD,1
1770830935.152652,0.265,FORWARD,1
1770830935.201268,0.272,FORWARD,1
1770830935.2457075,0.274,RIGHT,1
1770830935.2914355,0.265,RIGHT,1
1770830935.3326805,0.286,RIGHT,1
1770830935.3788695,0.261,RIGHT,1
1770830935.4226058,0.273,RIGHT,1
1770830935.4721763,0.264,RIGHT,1
1770830935.5167413,0.262,RIGHT,1
1770830935.5540013,0.0,RIGHT,1
1770830935.6005354,0.0,RIGHT,1
1770830935.6488338,0.309,FORWARD,1
1770830935.7690356,0.284,FORWARD,1
1770830935.8135376,0.0,FORWARD,1
1770830935.8581314,0.0,FORWARD,1
1770830935.9011738,0.0,FORWARD,1
1770830935.9462593,0.248,FORWARD,1
1770830935.9918904,0.173,FORWARD,1
1770830936.0367475,0.192,FORWARD,1
1770830936.0839715,0.248,FORWARD,1
1770830936.1299155,0.256,FORWARD,1
1770830936.1786668,0.269,FORWARD,1
1770830936.2192159,0.27,FORWARD,1
1770830936.2632833,0.262,FORWARD,1
1770830936.3099754,0.267,FORWARD,1
1770830936.3561914,0.224,FORWARD,1
1770830936.4000788,0.151,FORWARD,0
1770830936.443357,0.134,FORWARD,0
1770830936.4946945,0.19,LEFT,1
1770830936.5350626,0.0,LEFT,1
1770830936.577649,0.0,LEFT,1
1770830936.6225388,0.0,LEFT,1
1770830936.6684706,0.0,LEFT,1
1770830936.7141812,0.0,LEFT,1
1770830936.7608042,0.0,LEFT,1
1770830936.805413,0.0,LEFT,1
1770830936.8557196,0.0,LEFT,1
1770830936.902793,0.234,LEFT,1
1770830936.9482262,0.239,LEFT,1
1770830936.99819,0.245,FORWARD,1
1770830937.0440547,0.233,FORWARD,1
1770830937.0861444,0.31,FORWARD,1
1770830937.1292713,0.227,FORWARD,1
1770830937.1750908,0.247,FORWARD,1
1770830937.2200336,0.212,FORWARD,1
1770830937.2619777,0.237,FORWARD,1
1770830937.3065443,0.246,FORWARD,1
1770830937.3538065,0.221,FORWARD,1
1770830937.3980873,0.234,FORWARD,1
1770830937.4432254,0.199,FORWARD,1
1770830937.488092,0.214,FORWARD,1
1770830937.5366583,0.21,FORWARD,1
1770830937.5803397,0.189,FORWARD,1
1770830937.621922,0.234,FORWARD,1
1770830937.6696327,0.237,FORWARD,1
1770830937.7143142,0.215,FORWARD,1
1770830937.7582889,0.248,FORWARD,1
1770830937.8037126,0.283,FORWARD,1
1770830937.8499463,0.297,FORWARD,1
1770830937.8945782,0.331,FORWARD,1
1770830937.939594,0.32,FORWARD,1
1770830937.9878259,0.313,LEFT,1
1770830938.0355794,0.338,FORWARD,1
1770830938.076273,0.32,FORWARD,1
1770830938.1207736,0.348,FORWARD,1
1770830938.1643472,0.275,FORWARD,1
1770830938.21009,0.32,FORWARD,1
1770830938.258522,0.306,FORWARD,1
1770830938.2995563,0.312,FORWARD,1
1770830938.3479004,0.325,FORWARD,1
1770830938.3914893,0.32,FORWARD,1
1770830938.4392357,0.303,FORWARD,1
1770830938.4870644,0.284,FORWARD,1
1770830938.5296018,0.298,FORWARD,1
1770830938.5780382,0.304,FORWARD,1
1770830938.6268559,0.301,FORWARD,1
1770830938.6685686,0.276,LEFT,1
1770830938.7109458,0.318,LEFT,1
1770830938.759447,0.311,FORWARD,1
1770830938.8018591,0.286,LEFT,1
1770830938.8476348,0.306,FORWARD,1
1770830938.8971875,0.304,FORWARD,1
1770830938.9395251,0.278,FORWARD,1
1770830938.9842532,0.285,FORWARD,1
1770830939.0298831,0.276,FORWARD,1
1770830939.0706112,0.304,FORWARD,1
1770830939.1180258,0.296,FORWARD,1
1770830939.1700315,0.307,FORWARD,1
1770830939.2109249,0.307,FORWARD,1
1770830939.258019,0.297,LEFT,1
1770830939.29895,0.28,LEFT,1
1770830939.3393955,0.276,LEFT,1
1770830939.38708,0.28,LEFT,1
1770830939.4286058,0.258,LEFT,1
1770830939.4724894,0.275,LEFT,1
1770830939.520295,0.274,LEFT,1
1770830939.5645077,0.269,LEFT,1
1770830939.6043382,0.284,LEFT,1
1770830939.6521204,0.277,LEFT,1
1770830939.6997755,0.26,FORWARD,1
1770830939.7427597,0.27,FORWARD,1
1770830939.7874002,0.298,FORWARD,1
1770830939.831581,0.27,FORWARD,1
1770830939.8785114,0.26,FORWARD,1
1770830939.9225037,0.275,FORWARD,1
1770830939.966016,0.265,FORWARD,1
1770830940.0146387,0.187,FORWARD,1
1770830940.0553362,0.181,FORWARD,1
1770830940.099861,0.236,FORWARD,1
1770830940.146406,0.25,FORWARD,1
1770830940.1967118,0.245,FORWARD,1
1770830940.2354994,0.211,FORWARD,1
1770830940.2835464,0.206,FORWARD,1
1770830940.3283725,0.175,FORWARD,1
1770830940.3703508,0.157,FORWARD,1
1770830940.4167542,0.136,FORWARD,1
1770830940.4614747,0.166,FORWARD,1
1770830940.5045862,0.225,FORWARD,1
1770830940.5542924,0.235,FORWARD,1
1770830940.5956688,0.257,FORWARD,1
1770830940.6395442,0.252,FORWARD,0
1770830940.6896806,0.236,FORWARD,0
1770830940.7311625,0.261,FORWARD,0
1770830940.7764685,0.276,FORWARD,0
1770830940.8184576,0.251,FORWARD,0
1770830940.866648,0.268,FORWARD,0
1770830940.9095469,0.279,FORWARD,0
1770830940.95876,0.274,FORWARD,0
1770830940.9993563,0.274,FORWARD,0
1770830941.0473707,0.283,FORWARD,0
1770830941.0909045,0.272,FORWARD,0
1770830941.1331537,0.161,FORWARD,0
1770830941.1808975,0.139,FORWARD,0
1770830941.223182,0.132,FORWARD,0
1770830941.2672243,0.132,FORWARD,0
1770830941.3161197,0.161,FORWARD,0
1770830941.3579686,0.15,FORWARD,0
1770830941.4003475,0.153,FORWARD,0
1770830941.4464812,0.145,FORWARD,0
1770830941.4881146,0.175,FORWARD,0
1770830941.5373654,0.146,FORWARD,0
1770830941.5820673,0.168,FORWARD,0
1770830941.626705,0.152,FORWARD,0
1770830941.6708095,0.134,FORWARD,0
1770830941.7159078,0.173,FORWARD,0
1770830941.7590175,0.181,FORWARD,0
1770830941.8040946,0.198,FORWARD,0
1770830941.8586833,0.146,FORWARD,0
1770830941.8923316,0.162,FORWARD,0
1770830941.9393358,0.159,FORWARD,0
1770830941.9851756,0.14,FORWARD,0
1770830942.0288508,0.152,FORWARD,0
